EIC,Company,Display Name,Source URL,Registry Download URL
35XEPCGTRADING-8,Elektroprivreda Crne Gore AD Nikšić,EPCGTRADING,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
36XEP-RSRPSKE--S,Elektroprivreda Republike Srpske,ERS,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
36XHIFAOILTESANG,HIFA-OIL d.o.o. Tesanj,HIFA-OIL-TESANJ,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
40X000000000283S,Unresolved EIC,,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
40X000000000374P,Akenerji Elektrik Enerjisi İthalat İhracat ve Toptan Ticaret A.Ş.,AKENTOP,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
45X000000000043A,In Commodities A/S,INCOMAS,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
48X000000000358E,Volta Energy Designated Activity Company,VOLTAENERGYDAC,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
49X000000000041S,HEKN Trading B.V.,HEKN_TRADING,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
49X0000000000777,IHG Core Holding Ltd,IHG_CORE_HDG_LTD,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
49X0000000000858,Enerjisa Commodities B.V.,ENERJISA,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
49X000000000112V,Jump Trading Global Ltd.,JUMP_GLOBAL,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
52X000000000102C,Green Energy Origination Services B.V.,GEOSERVICES,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
53XPL000000GELL1,Somosierra Commodities Sp. z o.o.,SOMOSIERRA,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
54X-100-1001-PRA,PROTERGIA ENERGY ALBANIA sh.p.k,PROTERGIA_ENERGY,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
54X-10IRN102618R,ReNRGY Trading Group SH.P.K,RENRGY_AL,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
54X-I01-AE-10-TZ,Alb Energy Trade,A_E_T_F,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
59X---ECOTRADE-3,ECO Trade Srl,ECOTRADESRL,https://www.entsoe.eu/data/energy-identification-codes-eic/eic-approved-codes/,https://eepublicdownloads.blob.core.windows.net/cio-lio/xml/allocated-eic-codes.xml
